label,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
1,1.0,1.0,0.0,0.0,22.0,3.754441845713345,10.0,22.0,3.754441845713345,10.0,0.0,7.0,2.8073549220576046,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,22.0,3.788754913993503,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,22.0,3.788754913993503,10.0,22.0,3.788754913993503,10.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5335625168522715,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,254.0,3.5335625168522715,10.0,254.0,3.5335625168522715,10.0,0.0,768.0,7.998085058610653,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5382686370466288,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,254.0,3.5382686370466288,10.0,254.0,3.5382686370466288,10.0,0.0,1152.0,7.990571729880807,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.524603811966101,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.549310548348332,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5493105483483323,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5414365326003012,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5414365326003003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5661432689825316,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5661432689825316,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5661432689825316,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.5414365326003003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,1.7680702917947506,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,254.0,1.7680702917947506,10.0,254.0,1.7680702917947506,10.0,0.0,1176.0,7.991376557276955,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,254.0,3.555297255194487,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,254.0,3.555297255194487,10.0,254.0,3.555297255194487,10.0,0.0,1188.0,7.991868336404269,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,25.0,3.973660689688185,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
1,1.0,1.0,0.0,0.0,25.0,3.973660689688185,10.0,25.0,3.973660689688185,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,0.0,24.0,3.938721875540868,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,41.0,0.0,0.0
